pgs_id,trait,mode,metric,value,baseline_value,delta_vs_baseline,reduction,n_labeled_retained
PGS002858,LDL,reweight_exp,mean_sign_concordance_retained,0.5856370329856873,,,,448696.0
PGS002858,LDL,reweight_exp,weight_retained_frac,0.4602119804631466,1.0,-0.5397880195368534,0.5397880195368534,
PGS003092,BMI,reweight_exp,mean_abs_delta_EUR,0.45141846995223195,0.3704443214771145,0.08097414847511747,-0.08097414847511747,
PGS003092,BMI,reweight_exp,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS003092,BMI,reweight_exp,median_I2_retained,0.1678614616394043,,,,914477.0
PGS003092,BMI,reweight_exp,mean_sign_concordance_retained,0.5797567963600159,,,,914477.0
PGS003092,BMI,reweight_exp,weight_retained_frac,0.4443496532243842,1.0,-0.5556503467756158,0.5556503467756158,
PGS000014,CAD,reweight_exp,mean_abs_delta_EUR,2.001385843995771,2.5558140597276946,-0.5544282157319236,0.5544282157319236,
PGS000014,CAD,reweight_exp,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS000014,CAD,reweight_exp,median_I2_retained,0.0,,,,274387.0
PGS000014,CAD,reweight_exp,mean_sign_concordance_retained,0.6196289658546448,,,,274387.0
PGS000014,CAD,reweight_exp,weight_retained_frac,0.35274680108237283,1.0,-0.6472531989176271,0.6472531989176271,
PGS004840,T2D,reweight_exp,mean_abs_delta_EUR,1.331707625220533,1.2107554439711516,0.12095218124938145,-0.12095218124938145,
PGS004840,T2D,reweight_exp,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS004840,T2D,reweight_exp,median_I2_retained,0.0,,,,383834.0
PGS004840,T2D,reweight_exp,mean_sign_concordance_retained,0.6340348720550537,,,,383834.0
PGS004840,T2D,reweight_exp,weight_retained_frac,0.3290120528139159,1.0,-0.6709879471860841,0.6709879471860841,
PGS000018,T2D,flag,mean_abs_delta_EUR,0.7190071660432993,0.7190071660432993,0.0,0.0,
