pgs_id,mode,trait,status,n_variants_original,n_variants_edited,n_removed,variant_retention,weight_mass_retention,mass_removed,n_af_overlap,n_draws,observed_mad_baseline,observed_mad_edited,observed_mad_reduction,expected_mad_baseline,expected_mad_edited,expected_mad_reduction,delta_vs_random_n,delta_vs_random_mass,empirical_p_n,empirical_p_mass,random_n_mad_reduction_mean,random_mass_mad_reduction_mean,claim
PGS004133,fst,,insufficient_af_overlap,,,,0.901316,0.894361,,5,,,,,,,,,,,,,,
PGS004133,ld,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS004133,maf,,insufficient_af_overlap,,,,0.901316,0.814741,,5,,,,,,,,,,,,,,
PGS004133,duffy_gate,,insufficient_af_overlap,,,,1,1,,5,,,,,,,,,,,,,,
PGS001288,filter_5,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS001288,filter_10,,insufficient_af_overlap,,,,0.90184,0.798102,,4,,,,,,,,,,,,,,
PGS001288,filter_20,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS001288,reweight_linear,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS001288,reweight_exp,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS001288,flag,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS001288,fst,,insufficient_af_overlap,,,,0.90184,0.910708,,4,,,,,,,,,,,,,,
PGS001288,ld,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS001288,maf,,insufficient_af_overlap,,,,0.90184,0.809427,,4,,,,,,,,,,,,,,
PGS001288,duffy_gate,,insufficient_af_overlap,,,,1,1,,4,,,,,,,,,,,,,,
